numero;echantillon1;echantillon 2;echantillon 3
1;8.637609604;3.671722113;6.872458626
2;7.384429296;2.061696468;5.348872864
3;7.943230387;2.7007706;5.981348698
4;6.736876105;1.465122486;4.69911983
5;12.56905122;13.54879161;15.08664996
6;4.280153551;0.283336317;2.874936854
7;12.78217069;14.31903;15.74360321
8;8.27335197;3.136963385;6.389591856
9;7.034712811;1.721321592;4.987538803
10;7.914328095;2.664708008;5.946873498
11;8.11729906;2.925152391;6.193248902
12;7.763992029;2.482520602;5.770728943
13;5.748071357;0.812652599;3.855937898
14;9.798887135;5.777396658;8.669207913
15;5.825154808;0.853600308;3.915844291
16;9.363126693;4.91319094;7.945655797
17;8.22613927;3.07180581;6.329541837
18;7.464149406;2.145537064;5.434838913
19;12.4848835;13.25161394;14.83481378
20;8.790036358;3.912709918;7.085194121
21;3.657807395;0.168309622;2.538469852
22;7.826331442;2.556975918;5.843128109
23;6.460740242;1.253613415;4.446636859
24;9.840092087;5.863876773;8.740945961
25;5.845695112;0.864772399;3.931963905
26;6.678325489;1.418235958;4.644413492
27;7.17156021;1.849286619;5.125930359
28;9.410488573;5.002712607;8.02127763
29;6.394906632;1.206715446;4.388472982
30;10.06703167;6.355177365;9.146820508
31;6.673914329;1.414748709;4.640317849
32;2.710063831;0.069290657;2.100158391
33;6.606609491;1.362318071;4.578273208
34;8.224418588;3.069448827;6.327363987
35;12.07568921;11.86301485;13.66910043
36;9.536675379;5.246435661;8.226289609
37;4.485971967;0.333177765;2.995749329
38;6.236333284;1.099115661;4.251477871
39;12.70471528;14.03614516;15.50159707
40;9.451880854;5.081822604;8.087957046
41;7.639430977;2.338321904;5.628743261
42;6.594068262;1.352708689;4.566804163
43;10.07971777;6.383395962;9.170057483
44;7.604954411;2.299474597;5.590064816
45;10.13653912;6.510774526;9.274862867
46;10.65686524;7.753197201;10.29206334
47;8.335102752;3.223606192;6.468993618
48;9.331037381;4.853139904;7.894824958
49;5.976731268;0.938684703;4.036371939
50;9.840017167;5.863718777;8.740814988
51;7.11280558;1.793535837;5.066048453
52;5.916532398;0.904157162;3.988066311
53;10.6442277;7.721379436;10.26608291
54;5.296286743;0.60208545;3.5228043
55;9.831342953;5.845444646;8.725664194
56;10.42625515;7.185524942;9.82815307
57;7.608428496;2.303368361;5.593950239
58;6.165308739;1.053321345;4.191512921
59;3.983156326;0.222287571;2.709140065
60;6.702950359;1.43781913;4.667343526
61;6.889101305;1.592317913;4.8443848
62;6.005267542;0.955396451;4.059474406
63;10.31323018;6.917234976;9.608479934
64;8.551451953;3.540045938;6.755050116
65;9.878599628;5.945449078;8.808524321
66;4.810411608;0.425919515;3.196582664
67;8.190058324;3.022642055;6.284031071
68;4.99789665;0.4882474;3.318720543
69;7.824132436;2.554323319;5.840558858
70;8.336998152;3.226291237;6.471446348
71;5.969466287;0.93446566;4.030511364
72;7.535164025;2.22223287;5.512580286
73;9.073193999;4.388126855;7.498018606
74;13.95656271;19.02637046;19.91180043
75;6.409702087;1.21713991;4.401478104
76;4.689334334;0.38916074;3.12010566
77;14.56268466;21.76735757;22.47799728
78;10.9688873;8.565117885;10.9547972
79;4.537214924;0.346629618;3.026609405
80;10.34327648;6.987922889;9.666393632
81;12.73733602;14.15487199;15.60306241
82;6.329446083;1.16138827;4.331393075
83;12.13412515;12.05564057;13.82979095
84;2.270459559;0.044074436;1.923395112
85;8.590544033;3.599387638;6.808070908
86;5.32151563;0.612587056;3.540624507
87;10.68192532;7.816535745;10.3437768
88;11.3489031;9.623168783;11.81985353
89;10.19869589;6.651967011;9.390881627
90;7.847222596;2.58227229;5.86759312
91;6.127251608;1.029380564;4.159730637
92;9.711024077;5.595763682;8.518197994
93;3.834457219;0.196068135;2.629756993
94;8.4013777;3.318402267;6.555310864
95;5.095707842;0.52351222;3.384281312
96;8.29438891;3.166298965;6.416531982
97;5.1679978;0.550841322;3.433566648
98;-0.925944229;0.000712997;1.014921383
99;10.59329606;7.593983965;10.16204003
100;6.643739027;1.391062103;4.612397585
101;5.836658873;0.859843855;3.924864289
102;5.235825171;0.577489859;3.480461967
103;8.649373139;3.689953612;6.888646542
104;4.460821805;0.326731713;2.980718447
105;10.49310321;7.34726912;9.96043398
106;6.469761801;1.260143795;4.454667221
107;7.886408214;2.630190592;5.91375884
